,text,score,magnitude
0,"unbelievable dawned allopathic medicine obesity makes vulnerable dise…
",-40.0%,40.0%
0,"awesome  wildlife video showing nature backyard you’ve got check ontario…
",90.0%,90.0%
0,"jz era loadshedding averted illegal connections poor pple still got powerbut turn…
",-80.0%,80.0%
0,"update don’t fly united  american boyfriend denied boarding nycams despite documentation…
",-80.0%,80.0%
0,"make sure sanitize hands kiq hand sanitiser use kiq  ethyl alcoholbased hand sanitiser availa…
",-30.0%,30.0%
0,"facemasks people posting false claims wearing masks dangerous p…
",-80.0%,80.0%
0,"muslims want look probably came terrorists government
",-80.0%,80.0%
0,"morning everybody remember wear face mask also remember smile  eyes
",50.0%,50.0%
0,"traitor tots
",60.0%,60.0%
0,"breaking filipino vlogger social media influencer mika salamanca arrested honolulu hawaii violatin…
",-30.0%,30.0%
0,"wiil india draw lesson cm shivrajsinghchouhan fond coronapositive prohibit forms gathe…
",-40.0%,40.0%
0,"happy see first large cruise ship sailing passengers since brought industry halt tu…
",90.0%,90.0%
0,"gop presssec  americans died yesterday yet trump wants cut funding testing cut fun…
",-70.0%,70.0%
0,"running competition soon rockyourmask imagine opposite nomaskselfie well it’s bit like…
",-30.0%,30.0%
0,"the impacts ocean show positive due reduction pollution fishing habitat loss…
",30.0%,30.0%
0," new case latvia  gmt coronavirusupdate coronaviruspandemic
",-10.0%,10.0%
0,"shape mobility future europe meantime accelerating toward electric…
",20.0%,20.0%
0,"piffle piffle piffle far many unnecessary deaths
",-50.0%,50.0%
0,"although madhyapradesh coronapositves numbers much control cm chouhanshivraj still managed get…
",-30.0%,30.0%
0,"update new cases russia  tot  kyrgyzstan  tot  ge…
",-10.0%,10.0%
0,"cancelling remainder season pandemic uaapofficial still hold virtu…
",-40.0%,40.0%
0,"it’s day long waited everyone training  gym workout sportscene
",-40.0%,40.0%
0,"super cool twice exciting since share food chef
",90.0%,90.0%
0,"madhya pradesh cm shivraj singh chouhan tests positive dont make trend trends people p…
",-10.0%,10.0%
0,"despite incentive offers state governments awareness campaigns medical community ngos…
",-50.0%,50.0%
0,"socialdistancing hard children aren’t school kids developingnations with…
",-80.0%,80.0%
0,"need research laboratories papadwalisarkar minister arjun ram meghwal claims pap…
",-70.0%,70.0%
0,"sainsburys plans introduce recurring delivery slots especially us shielding groups wh…
",0.0%,0.0%
0,"deliver delivery deliveryservice phvendors trending staysafe lockdown business dropoffservice…
",-50.0%,50.0%
0,"deaths cases series  central statistics office ireland ireland’s figures ri…
",-10.0%,10.0%
0,"holy crap hcg found tetanus vaccine kenya raises concern developing world human chorionic gonado…
",-20.0%,20.0%
0,"jrubinblogger choice order house conference hotels booked age…
",0.0%,0.0%
0,"bharathguptaias sir could one cannot become fan taking great care towards …
",-30.0%,30.0%
0,"wef expert explains wrong talk second wave uk
",-50.0%,50.0%
0,"wef un called ubi worlds poorest pandemic poverty
",-50.0%,50.0%
0,"small thrill seeing previous lab member’s byline front page satpaper nice one coopesdetat gre…
",10.0%,10.0%
0,"wef thrown planet lifeline comes climate change …
",-20.0%,20.0%
0," england scotland went separate ways may lead full divorce uk scotland england…
",-20.0%,20.0%
0,"wef  ways affect brain health
",-10.0%,10.0%
0,"wef imf chief policymakers ensure resilient recovery finance
",40.0%,40.0%
0,"wef jobs crops pests leave nepal fearing hunger nepal
",-20.0%,20.0%
0,"wef remote working working poor young women new study finds
",-20.0%,20.0%
0,"wef air pollution exposure linked higher cases deaths – new study …
",-20.0%,20.0%
0,"climatechange migration terrorism  book massoni magaldi other…
",-40.0%,40.0%
0,"mean id really love dread put together socially awkward gathering filled peo…
",-20.0%,20.0%
0,"bbcnews report spain figures nothing uk figures tory puppet masters told
",-80.0%,80.0%
0,"voting trump worth hate working lies working iloveamerica bebetter goldenrule…
",-60.0%,60.0%
0,"breaking shivraj singh chouhan tested positive chouhanshivraj shivrajsinghchouhan madhyapradesh…
",0.0%,0.0%
0,"tamilnadu chief secretary instructed district collectors coordinate ensure death re…
",-10.0%,10.0%
0,"dont take change normal water purifier must buy roalkalinesilver nano ionizer ph ad…
",-60.0%,60.0%
0,"million people stopped smoking year due risks public health england calls action…
",-50.0%,50.0%
0," webinar  breast pathology cancer diagnosis held in…
",10.0%,10.0%
0,"sadly week first time since tour started  eclectics touring ‘ decision taken lightly…
",-50.0%,50.0%
0,"torikap kinghorsewrites mmpadellan  listentofacii preople facuci doctor epidemiologist…
",0.0%,0.0%
0,"name realdonaldtrump stop calling anything
",-60.0%,60.0%
0,"tune kumararahul’s latest founderfundamentals podcast episode drmohamadhamade discussed jou…
",0.0%,0.0%
0,"breaking shivraj singh chouhan tested positive chouhanshivraj shivrajsinghchouhan madhyapradesh…
",0.0%,0.0%
0,"men think earn much want cut payment € week call stimu…
",-40.0%,40.0%
0,"himachalpradeshs case tally rises   active cases  recovered cases  deaths…
",10.0%,10.0%
0,"davidschneider whitesidepaula important work independent sage independentsage ignored yes…
",-10.0%,10.0%
0,"himachal pradeshs case tally rises   actives cases  recovered cases  dea…
",20.0%,20.0%
0,"show little form appreciation god woke  it’s grace god ‍…
",60.0%,60.0%
0,"sm conducted several rounds mass testing  workers across supermarkets retail s…
",-20.0%,20.0%
0,"first time moms arehave pregnant midst salute cannot imagine anxiety an…
",-10.0%,10.0%
0,"jsteenhuisen unathikwaza equal law differ degrees equality would l…
",-20.0%,20.0%
0,"ekokonnect webinar hold day theme role ren response nig…
",30.0%,30.0%
0,"bill gates said social media ‘bad combination’ cnn town hall
",-50.0%,50.0%
0,"eacapitalgroup day hold live chat series themed opportunities logistics space post…
",20.0%,20.0%
0,"himachalpradesh morning corona update    
",0.0%,0.0%
0,"bhopal ambulance arrives residence madhya pradesh cm shivraj singh chouhan tests positive f…
",0.0%,0.0%
0," edition csos briefing special edition hold day theme strategies womens econ…
",20.0%,20.0%
0,"bbcnews advertising masks valves experts warn wear face mask valve could…
",-40.0%,40.0%
0,"bhopal ambulance arrives residence madhya pradesh cm chouhanshivraj tests positive for…
",30.0%,30.0%
0,"friday mainland china  confirmed cases health authority said death…
",-30.0%,30.0%
0,"remember come somewhere bbnaijia zuma alreadyvideo djsbu
",0.0%,0.0%
0," people infected one person  shown transmit distances  ft via aerosols…
",-60.0%,60.0%
0,"fauci says wife family receiving “serious threats”  “fauci director national institute all…
",-50.0%,50.0%
0,"  workers developing countries depend informal sector temporarybasicincome protect lives…
",0.0%,0.0%
0,"askdrben dr benadeiza answers questions treatments urges people remember continue t…
",0.0%,0.0%
0,"realdonaldtrump jiminhofe odd lack response best cancelculture play ye…
",-50.0%,50.0%
0,"help slow spread identify risk cases sooner selfreporting symptoms daily even y…
",50.0%,50.0%
0,"tamilnadu chief secretary instructed district collectors coordinate ensure death repo…
",-10.0%,10.0%
0,"cbsnews cant blame delta cause one checked customs wore mask cov…
",10.0%,10.0%
0,"sir please ask people participated swearing ceremony despite deadly war…
",-20.0%,20.0%
0,"evidence ximmunity conferred tcell response seasonal flu cold ailment…
",10.0%,10.0%
0,"luminary afghanwomen entrepreneur royamahboob afghandreamers girls robotics team develop novel vent…
",20.0%,20.0%
0,"friday state reported  deaths last  hours marking backtoback record days…
",-60.0%,60.0%
0,"thank much support sushibar sushi   england leeds  meanwood   yorkshire…
",80.0%,80.0%
0,"comming worse country europe wont testing local marshals rip  season 
",-80.0%,80.0%
0,"proposition flu shot regularly vulnable proof death flu shot…
",-20.0%,20.0%
0,"cannot allow potentially transmit virus communities simply play sport love i…
",-60.0%,60.0%
0,"richardgcorbett daisybelll important work independent sage independentsage ignored yester…
",-40.0%,40.0%
0,"hostess made put mask could walk  feet table immediately remove that’s brai…
",-60.0%,60.0%
0,"cases   deaths   recovered   active cases  …
",10.0%,10.0%
0,"sportscene thequeenmzansi putsouthafricansfirst lets stand fairness according one source which…
",30.0%,30.0%
0,"aimim floor leader janab akbaruddin owaisi visiting princess esra hospital ogh monitored arrangements works for…
",10.0%,10.0%
0,"davidkurten ive replied elsewhere continue shop stores wont enforce mask wearing howe…
",-50.0%,50.0%
0,"germany’s wurst jobs – spreading huge european abattoir vows reforms
",60.0%,60.0%
0,"goairlinesindia allowed book person restricted person traveling you…
",-50.0%,50.0%
0,"hiv relegated minds people amid pandemic together helperssocial we…
",-50.0%,50.0%
0,"emirates resumes services seychelles boosts access indian ocean destinations summer
",30.0%,30.0%
0,"record  daily cases reported worldwide says nearly half cases from…
",-20.0%,20.0%
0," germanys tracing app initially disabled android smartphones coronavirus…
",-30.0%,30.0%
0,"fab ideal lol maskup maskson danslott
",90.0%,90.0%
0,"thank much support sushibar sushi   england leeds  meanwood   yorkshire…
",80.0%,80.0%
0,"density debates abound
",0.0%,0.0%
0," million renters us could evicted coming months experts worry increase spr…
",-40.0%,40.0%
0,"social distancing norms become optics symbolic chance beat expected better special…
",-10.0%,10.0%
0,"simple perfect illustration importance wearing masks everyone control maskup
",80.0%,80.0%
0,"get corona covered healthinsurance treatment cost hospitalization corona total…
",-10.0%,10.0%
0,"white man canada charged assault pushing  asian man ground yelling a…
",-70.0%,70.0%
0,"  ​​​​​​the commonwealth biosecurity act  explains manage biosecurity threats t…
",10.0%,10.0%
0,"mass traffic blueprint get leads digital marketing via youtube earnmoney…
",0.0%,0.0%
0,"according projections cybercrime cost world eur  trillion end  eur …
",0.0%,0.0%
0,"ani bcoz dont wish go govt hospital made spending tax payers money workscommissions govt want m…
",-70.0%,70.0%
0,"indiafightscorona preventing workplaces ↗ make sure workplace clean hygienic ↗ regula…
",0.0%,0.0%
0," inmates us prisons tested positive cases rose  week reports marshallproj…
",-40.0%,40.0%
0,"politicians blaming young people rise cases point trying…
",-80.0%,80.0%
0,"borisjohnson go pub shops gymsswim protests yet iv cancel wedding  times s…
",-60.0%,60.0%
0,"please keep social distancing wearing masks second time exceeded data entry almost m…
",-20.0%,20.0%
0,"us health department reveals blockchain project track article …
",0.0%,0.0%
0,"lockdown easing we’re looking forward getting back experiencing wonderful uk  don’…
",60.0%,60.0%
0,"aoc someone scared  aoc voted  billion hospitals elmhurst helping…
",-60.0%,60.0%
0,"testing rates remain strong  tests administered per thousand australians hopefully th…
",20.0%,20.0%
0,"slept  hours yesterday im wide awake thinking much valued community
",60.0%,60.0%
0,"traitortrump treasontrump supportsthetroops allowing russia pay bounty taliban to…
",0.0%,0.0%
0,"information stay tuned visit us digitalmarketing socialmedia…
",0.0%,0.0%
0," german airports offer free tests returning holidaymakers germany travel
",0.0%,0.0%
0,"hello friends colleagues happy share new paper impact pandemic market…
",50.0%,50.0%
0,"due major grand tours rescheduled canceled times it’s reliving know that…
",-30.0%,30.0%
0,"vaccine update  man administered indigenous vaccine covaxin the…
",-10.0%,10.0%
0,"get well soon sir  cm shivrajsinghchouhan chouhanshivraj
",40.0%,40.0%
0,"borisjohnson talks obesity good it’s result obesity resulting experience as…
",0.0%,0.0%
0,"couldnt agree  covidnsw nsw
",-20.0%,20.0%
0,"registrations started  conference september   webinar grab oppor…
",0.0%,0.0%
0,"highest spike cases reported maharashtra tamil nadu delhi andhra pradesh
",-20.0%,20.0%
0,"since early pandemic federal government added  weekly unemployment checks states se…
",-50.0%,50.0%
0,"prevent overwhelming secondwave shielding vulnerable individuals implemented ri…
",0.0%,0.0%
0,"must watch video ujjwalpatni
",80.0%,80.0%
0,"janekdaw cathsard important work independent sage independentsage ignored bbcnews others…
",-40.0%,40.0%
0,"kind – easy free – could use little kindness especially challenging times…
",30.0%,30.0%
0,"shivraaj singh chauhan effected corona test report positive pray shivraaj ji t…
",30.0%,30.0%
0,"classy beyond belief takes real beating heart sport practitioners says…
",90.0%,90.0%
0,"  reality devastation wreaks body ok…
",0.0%,0.0%
0," boris johnson — world king bumbling failure borisjohnson uk brexit nhs coronavirus…
",-40.0%,40.0%
0,"vipers offseason report general manager head coach jason mckee  brieann knorr itsbrieann  …
",-10.0%,10.0%
0,"doom days troubles song produced meditate solutions
",-20.0%,20.0%
0,"i’m fan government know they’ve long time get right credit cr…
",0.0%,0.0%
0,"union remembers  nurses died pleads congress ppe
",-50.0%,50.0%
0,"wec newzealand please pray wisdom learn lockdown apply l…
",-30.0%,30.0%
0,"thanks doctors nurses police personnel supporting members continues efforts e…
",70.0%,70.0%
0,"priests dulling either whats excuse  god said bless works hands…
",-30.0%,30.0%
0,"need distraction get home clutter free  tips bloggerstribe…
",-50.0%,50.0%
0,"im protecting self
",40.0%,40.0%
0," brt fare increase pandemic let’s praise sanwoolu way handled lagos
",70.0%,70.0%
0,"high court gauhati registered suo motu plea rising cases prisons assam report…
",-10.0%,10.0%
0,"covidaustralia update vic recoveries really late reason
",-60.0%,60.0%
0,"dangerous entire earth population already caused havoc realdonaldtrump secpompeo “…
",-80.0%,80.0%
0," cdcgov independent way can’t usual number flu deaths saying…
",-40.0%,40.0%
0,"madhya pradesh cm shivrajsinghchouhan tests positive novel covidnewsbymib chouhanshivraj appealed all…
",50.0%,50.0%
0,"yet another snp shambles making sturgeon failing scotland’s children scotland glasgow edinburgh…
",-80.0%,80.0%
0,"afghan ministry health reported  new labconfirmed cases last  hours least  pat…
",-70.0%,70.0%
0,"number cases deaths england maintained isnt reducing governme…
",-50.0%,50.0%
0,"bjp rameshwar sharmastart ram temple end corona mp shafiqur rehmam allow muslims mass namaz mosq…
",10.0%,10.0%
0," new cases estonia  gmt coronavirusupdate coronaviruspandemic
",0.0%,0.0%
0,"melulater didnt escape disrespectful reasons still escaped broke law put rest us a…
",-70.0%,70.0%
0,"lockdown many countries world struggling longer distance sad happening…
",-70.0%,70.0%
0,"borisjohnson comedy events film funny indie stayhome twitterfilm video…
",60.0%,60.0%
0,"borisjohnson don’t understand customers wear masks shops staff don’t pass on…
",-80.0%,80.0%
0,"bharathikannamma rettairoja tv soaps tamilnadu prepare air fresh episodes july  spe…
",0.0%,0.0%
0,"guidance discharge ending isolation patients mohapuae
",-20.0%,20.0%
0,"cause loss ones sense smell loss known anosmia temporary mai…
",-60.0%,60.0%
0,"people complaining they’ve gained weight quick fix turned towards cra…
",-10.0%,10.0%
0,"charity using resources help struggling pet owners who’ve lost jobs due feed thei…
",50.0%,50.0%
0," watch replay discussion impacts gender equality speakers include ifcorgs henriette…
",-10.0%,10.0%
0,"bangalore death rate  udupi  mysore  deathtotal outcomes bangalore  couple of…
",-20.0%,20.0%
0,"european network research ethics committees tambornino lanzerath committees consider for…
",-10.0%,10.0%
0,"mougendi mihrthakar person  years old suddenly collapses shouldn’t among top  differen…
",-70.0%,70.0%
0,"many would give damn really knew fcked get hearing person love…
",20.0%,20.0%
0,"live concerts events mostly canceled greece summer due pandemic c…
",-20.0%,20.0%
0,"oncoalert negative rct nejm hydroxychloroquine incl severe let’s move energies research fun…
",-10.0%,10.0%
0,"wicked enemy australias success story unravelled
",60.0%,60.0%
0,"bledsoewes realdonaldtrump vp presssec close smartest thing implied  children died the…
",-60.0%,60.0%
0,"chief scientist sees herd immunity yet
",0.0%,0.0%
0,"indias first cm test positive bjpfailscoronafight
",60.0%,60.0%
0,"first recent times world leader openly suggesting rebirthoftheun 🤨 narendramodi india…
",-30.0%,30.0%
0,"bhopal ambulance arrives residence madhya pradesh cm shivraj singh chouhan tests positive…
",10.0%,10.0%
0,"another death esi hospital  yearold patient sankhali passes away admitted  july goa
",-60.0%,60.0%
0,"gt age facemask might powerful marketing tool raise brandawareness
",10.0%,10.0%
0,"dawned untold number internsstudent teachers fresh college grad…
",20.0%,20.0%
0,"🤦‍bbc tv presenter correcting expert government’s handling epidemic 🤦‍mr tv presente…
",0.0%,0.0%
0,"south florida  civil unrest schools voting environment remembering congressman lewis…
",-20.0%,20.0%
0,"weekends staying especially since everyone wants go mingle knowing “poo…
",-50.0%,50.0%
0,"climatechange migration terrorism  huge manipulation recent history became ob…
",-30.0%,30.0%
0,"add conflation reporting stating increased risk death bmi…
",-40.0%,40.0%
0," morning happy weekend i’m cashing big fixed matches l bought your…
",80.0%,80.0%
0,"partnerships collaborations critical become post people coming together…
",50.0%,50.0%
0,"bhopal ambulance arrives residence madhya pradesh cm chouhanshivraj tests positive for…
",30.0%,30.0%
0,"limits crossed students  waiting results mpmpbse doing…
",-60.0%,60.0%
0,"st kittsnevis prime minister dr timothy harris says eastern caribbean central bank eccb expecting between…
",-20.0%,20.0%
0,"one ironies people grinding teeth dust afraid go dentis…
",-40.0%,40.0%
0,"ss  dey post done dusted shaa 
",0.0%,0.0%
0,"alan  things must never socialdistancing dominicummimgs coronavirus…
",-60.0%,60.0%
0,"alert impacting weather experts issue hurricane forecasts global pandemic news coronavirus…
",0.0%,0.0%
0," positive man homeisolation dies suicide patna bihar read ani thi…
",30.0%,30.0%
0," himachalpradesh midday bulletin  july   new  recovery  death reported till  …
",-30.0%,30.0%
0,"south africa’s mocpchildren strives improve quality life children cerebral palsy fam…
",80.0%,80.0%
0,"continue safely maintain operations‍ health priority  free health check camp by…
",70.0%,70.0%
0,"recently asked burdened already burdened healthcare system india answe…
",-30.0%,30.0%
0,"fantastic youtube video seo gig service optimizing title description tags hashtags end screen cards sub…
",80.0%,80.0%
0,"amid pandemic senior citizens chennai serve inspiration heres
",10.0%,10.0%
0,"pandemic keeps pummeling global air industry china eastern airlines set new branch xia…
",-30.0%,30.0%
0,"another notgreat day australia  dayonday rise cases tomorrow well likely pass south…
",0.0%,0.0%
0,"bihar  positive man homeisolation dies suicide patna citys malsalami police stati…
",0.0%,0.0%
0,"early days encouraging signs therapy reduce worst effects
",0.0%,0.0%
0,"knew would loot  know wont change want keep change come next electi…
",0.0%,0.0%
0,"realdonaldtrump isnt willing send kid back school willing risk familys…
",-80.0%,80.0%
0,"learn wink this yall twitter people  bbnaijia …
",-70.0%,70.0%
0,"amy since teachers march protest teach students comeback theyre outside th…
",-60.0%,60.0%
0,"food banks result tory austerity mismanagement financial support dominicraab t…
",-80.0%,80.0%
0," latest german state leader says second wave already germany…
",-50.0%,50.0%
0,"curious indeed wonder also lowballed stats globally cases actual mortali…
",70.0%,70.0%
0,"achieving success force but willing take step work it story glory a…
",-10.0%,10.0%
0,"world    new cases   new deaths    cases   d…
",20.0%,20.0%
0,"software engineer arrested hacking database company get back job softwareengineer programmer…
",-60.0%,60.0%
0,"wonder theyre dirty mine prior exercise  one three public leisure centres…
",-70.0%,70.0%
0,"often research helps less   global population  comes science ha…
",50.0%,50.0%
0,"context rabimishras cartoon cant read nepali nepals supreme court recently granted bail…
",-70.0%,70.0%
0,"msm real virus 🦠
",-80.0%,80.0%
0,"crime scene
",-50.0%,50.0%
0,"ms sarita maskara  battle wish healthy life ahead healthcare…
",20.0%,20.0%
0,"bhopal ambulance arrives residence madhya pradesh cm shivraj singh chouhan tests positive f…
",0.0%,0.0%
0,"testing bottlenecks continue issue
",-50.0%,50.0%
0,"“this manmade crisis huge disproportionate effect women” childcarecrisis
",-50.0%,50.0%
0,"get well soon positive health conditionbut get negative chouhanshivraj…
",-40.0%,40.0%
0,"small news bulletin  cyclone india america chainaamerica chaina
",0.0%,0.0%
0," theshb joywunjo rafepstein person follow profjoeonline studied coronial data investig…
",-10.0%,10.0%
0,"vegan burger success youtube stress vlog via youtube saturdaymorning videos vid…
",20.0%,20.0%
0,"fabuloushz thank vests masks wonderful stay safe touch soon…
",90.0%,90.0%
0,"hope yall great weekend bishoplgaiters back monday another great show…
",90.0%,90.0%
0,"thread recently asked taught us much attention pay public funded he…
",-10.0%,10.0%
0,"could look experiment begins london live theater least sixfeet between…
",-20.0%,20.0%
0,"danielkriesel databased explanations findings plots interpretation aids shed light wor…
",-10.0%,10.0%
0,"hpcl corona warriors returned duty recovery battle merahppump hp baihata ka…
",0.0%,0.0%
0,"vaccine administered volunteers swab sample results tests come in…
",0.0%,0.0%
0,"lockdown made difference number deaths study suggests
",-20.0%,20.0%
0,"boost immune system best homeopathy medicine homeopathy safe simple affordable get now…
",90.0%,90.0%
0,"mama ji mp cm shivrajsinghchouhan tests positive currently quarantine knowing f…
",-30.0%,30.0%
0,"ecosoc resolution calls unncd task force enhance support member states paying particular attention…
",-40.0%,40.0%
0,"smart always check health status get smart ⌚watch watch healthy healthtech…
",60.0%,60.0%
0,"blog girls young women era urgent call action read the…
",-40.0%,40.0%
0,"national mobile phone survey social weather stations july  shows crisis brought…
",-30.0%,30.0%
0,"german made   ce approved masks made german meltblown let’s win medicareforall
",20.0%,20.0%
0,"people high iqs
",-30.0%,30.0%
0,"masafa tours clients masafa mara enjoying view  wild beast migration part post ma…
",30.0%,30.0%
0,"trust enjoy life live happily makes happy 🦋‍‍🤸‍‍‍🤽‍🤾‍…
",90.0%,90.0%
0,"whoever thought old town would become capital historic battle freedom give hell…
",-60.0%,60.0%
0,"mass traffic blueprint get leads digital marketing via youtube earnmoney…
",0.0%,0.0%
0,"found photo archive looking forward getting taking new photos lockdown ha…
",40.0%,40.0%
0,"alert feds use tear gas try disperse rowdy portland protests global pandemic news …
",-50.0%,50.0%
0,"  july  dohcordillera reports  new cases region  abra  baguio  beng…
",0.0%,0.0%
0,"really cant remember last time agreed borisjohnson anything hes right suggest anti…
",-40.0%,40.0%
0,"malevolence casinos churches riots rites nevada usa uspoli
",0.0%,0.0%
0,"increase family love connection beyond relaxkids
",50.0%,50.0%
0,"please don’t jump conclusions see people without face masks public  population disa…
",-80.0%,80.0%
0,"along diabetesuk we’re calling government make sure people high risk catch c…
",-70.0%,70.0%
0,"india take look latest tally
",10.0%,10.0%
0,"madhya pradesh cm shivraj singh chouhan tests positive madhya pradesh chief minister shivrajchouhan…
",20.0%,20.0%
0,"read lips response world beating
",50.0%,50.0%
0,"get one world ends bbnaijia   …
",0.0%,0.0%
0,"eskomsa eskomsepush cityofjoburgza assist please mzimhlope killarney soweto electricity wen…
",-20.0%,20.0%
0,"india positivity rate vs growth cases looks bubble size represents daily confir…
",0.0%,0.0%
0," water cooler  lambert strether corrente reader request i’ve added daily ch…
",0.0%,0.0%
0,"patients longer need tests end isolation new york times
",-20.0%,20.0%
0,"thanks cristiano ibraofficial lewyofficial joshuakimmich leongoretzka initiatives fight…
",60.0%,60.0%
0,"hello po im struggling student pup po would ask yall piso po help raise funds…
",-50.0%,50.0%
0,"registration open various course apply information contact us    whatsap…
",0.0%,0.0%
0,"amidst remote working due lockdown companies seem indicating sick leaves avoided unless t…
",10.0%,10.0%
0,"timjbo happy foreignowned youre spreading march take goons specia…
",0.0%,0.0%
0,"alert pregnant women risk death kenyas curfew global pandemic news …
",-40.0%,40.0%
0,"vaccines widely available screen needs cease existing netflix netflixanz
",-20.0%,20.0%
0,"cebu pacific launches unlimited rebooking service cebupacific philippines airlines…
",20.0%,20.0%
0," new cases  new deaths russia  gmt coronavirusupdate coronaviruspandemic
",0.0%,0.0%
0," uk government could make journey towards exit winter flu crisis complete wreckage…
",-20.0%,20.0%
0,"another piece guardian suggesting would well virtual schooling didnt disproport…
",-60.0%,60.0%
0,"davidschneider im sure dominicraab thinks great charge country needs so…
",-30.0%,30.0%
0,"know  rashad indicates high land bottle me…
",10.0%,10.0%
0,"struck late march aampe nurse kate farrow given choice redeploy opted for…
",-60.0%,60.0%
0,"gladwell ‟tipping point‟ moment epidemic virus reaches critical mass it’s boiling point it’s the…
",-30.0%,30.0%
0,"antibodies proteins produced immune system fight external organisms viruses try ente…
",0.0%,0.0%
0,"mp cm shivraj singh chouhan tests positive
",50.0%,50.0%
0,"china lessons way forward lancet
",40.0%,40.0%
0,"onale mask wear bandana rise nearly half milli positive cases stayhomestaysafe
",30.0%,30.0%
0,"chair council cnagpaul joined bbcbreakfast morning discuss government’s handling the…
",-10.0%,10.0%
0,"madhya pradesh chief minister shivrajchouhan tests positive
",60.0%,60.0%
0,"nstregion thailand records  new cases including  soldiers
",0.0%,0.0%
0,"sriramulubjp sir dont govt stop development activities another  months divert money to…
",-80.0%,80.0%
0,"advocates communicators journalists make huge numbers feel less abstract response su…
",-60.0%,60.0%
0,"come realdonaldtrump must know truth floridacovid potus
",-10.0%,10.0%
0,"useful decision makers stakeholders management pandemic
",80.0%,80.0%
0,"jeez third wave—hong kong records fourth consecutive day  new infections battles it’s …
",-10.0%,10.0%
0,"supporters stay home ruin chances winning election ugandaec…
",-80.0%,80.0%
0," tips avoid overeating unhealthyeating plan meals drink liquids practise slow eating follow s…
",-50.0%,50.0%
0,"dilemma ’s second wave
",-70.0%,70.0%
0,"solidarity experiencing homelessness us nearly  streets already died during…
",-80.0%,80.0%
0,"entrepreneur means constantly converting handicap incentive success thesuccessfactor…
",50.0%,50.0%
0,"national ‘biryani’ ordered food lockdown report biryani lockdown swiggy…
",-50.0%,50.0%
0,"bihar  positive man homeisolation dies suicide patna citys malsalami police station limits
",30.0%,30.0%
0,"newsweek  ‘besmet’ museumboerhaave leiden museum tentoonstelling sars
",0.0%,0.0%
0,"world    new cases   new deaths    cases   d…
",20.0%,20.0%
0,"what’s top priority corona indianeconomy getwellsoon saturdaymotivation
",40.0%,40.0%
0,"wristbased tracker sensors skin temperature heart rate  blood oxygen saturation c…
",0.0%,0.0%
0,"struck late march aampe nurse kate farrow given choice redeploy opted for…
",-60.0%,60.0%
0,"waiting toast cook engulfed wave sorrow see family qld mother muc…
",-70.0%,70.0%
0,"infected person coughs sneezes breathes near even touch things touched an…
",-20.0%,20.0%
0,"delhi need blood type abpositive apollo sarita vihar blood component need plasma abve …
",-20.0%,20.0%
0,"planning sending kids school fall schoolsreopening saferathome schools…
",-40.0%,40.0%
0,"obesity increases risks experts move away b…
",-60.0%,60.0%
0,"made novel free you enjoy 🥰 fantasy thriller fiction suspense…
",80.0%,80.0%
0,"love nottscc facecoverings sensible advice
",90.0%,90.0%
0," vietnam rent prices reduced 
",80.0%,80.0%
0,"angelogiovino borisjohnson deadly many us successive waves kill tens hundreds…
",-60.0%,60.0%
0,"researchers identify  existing drugs could treat 
",10.0%,10.0%
0,"mark calendars  tune august   pm est watch nyunited  see nyuniversity community…
",0.0%,0.0%
0,"wearable wrist tracker detect symptoms early stage available market next month w…
",10.0%,10.0%
0,"msparvati adamhillscomedy we’ve always known masks don’t stop getting help reduce passing…
",10.0%,10.0%
0,"together defeat art  afghan living greece refugees artcontest
",0.0%,0.0%
0,"million pieces ppe arrived  part  funded solidarity health initiative whoe…
",10.0%,10.0%
0,"everyone careful dont think next precaution best free treatment proce…
",50.0%,50.0%
0,"reasons englands continuing failure properly manage  obesity  scientists wrong  lack o…
",-80.0%,80.0%
0,"west bengal streets wear deserted look siliguri amid induced lockdown  weekly lockdown b…
",-70.0%,70.0%
0,"timjbo macsweenprue happy foreignowned youre spreading march take…
",10.0%,10.0%
0,"cm madhya pradesh tested positive symptoms
",10.0%,10.0%
0,"pregnant women risk death kenya’s curfew pregnant curfew virus…
",-70.0%,70.0%
0,"files part friday night outdoor dinner adventure world famous monalisarestaurant…
",20.0%,20.0%
0,"guess spitting officially table  hork squad
",-30.0%,30.0%
0,"madhya pradesh cm shivraj singh chouhan says tested positive
",0.0%,0.0%
0,"bengaluru karnataka deputy chief minister cn ashwath narayan holds meeting governing body ramaiah me…
",-10.0%,10.0%
0,"section  imposed parts sambalpur amid spike cases odisha
",-20.0%,20.0%
0,"joke made china
",-70.0%,70.0%
0,"derrick brozes dbrozelivefree offthecuff intro  ⇝ study vid singlehanded…
",20.0%,20.0%
0,"meaningful graph number daily cases scale right magnification icu…
",70.0%,70.0%
0,"wrap fabric eat papad vaccine immunity khakra corona go kuch bhi chalta hai ind…
",0.0%,0.0%
0,"sciencewithroge theplaguedoc good joke coronavirusuk  wea…
",0.0%,0.0%
0,"westjet westjet wake us without jobs since april can’t afford £ “credits flights…
",-70.0%,70.0%
0,"please check great testimonial comra helps deal lack official medical care due lockdown…
",-60.0%,60.0%
0,"cmoodisha sir  survey able guidance dmkalahandi sir many regards  each…
",60.0%,60.0%
